기관기업고유번호,기술명칭,정제된기술명,카테고리
32145,케톤 수소화를 위한 강력한 촉매제,케톤 수소화를 위한 강력한 촉매제,재생에너지 및 에너지전환
35476,다량의 수분을 함유한 바이오매스의 효율적인 수소 변환,다량의 수분을 함유한 바이오매스의 효율적인 수소 변환,재생에너지 및 에너지전환
37659,순 수소형 연료전지를 탑재한 수소 자전거,순 수소형 연료전지를 탑재한 수소 자전거,재생에너지 및 에너지전환
37667,바이오 디젤 폐수의 바이오 수소·에탄올 발효처리,바이오 디젤 폐수의 바이오 수소 에탄올 발효처리,재생에너지 및 에너지전환
35477,Footprint algorithm detects PV malfunctions 태양광 발전기 오류 탐지를 위한 풋 프린트 알고리즘의 개발,footprint algorithm detects pv malfunctions 태양광 발전기 오류 탐지를 위한 풋 프린트 알고리즘의 개발,재생에너지 및 에너지전환
38033,Recommendations for the cultivation of energy crops 에너지 작물 재배를 위한 권고,recommendations for the cultivation of energy crops 에너지 작물 재배를 위한 권고,농업 및 식량안보
38037,Balancing wind power fluctuations 풍력 전력 수급의 균형 조절,balancing wind power fluctuations 풍력 전력 수급의 균형 조절,재생에너지 및 에너지전환
38039,Efficient conversion of wet biomass to hydrogen 수분 함유 바이오매스(wet biomass)의 수소로의 효과적인 변환,efficient conversion of wet biomass to hydrogen 수분 함유 바이오매스 wet biomass 의 수소로의 효과적인 변환,재생에너지 및 에너지전환
38047,Urban water management guide 도심지역 수자원 관리 가이드,urban water management guide 도심지역 수자원 관리 가이드,물 부족 및 정수 기술
38050,Magnetic indicators enhance climate change models 자기 방위 지시 장치를 통한 기후변화 탐지,magnetic indicators enhance climate change models 자기 방위 지시 장치를 통한 기후변화 탐지,기후변화 대응 및 탄소감축
38051,New ruthenium catalyst drives water purification system 신 루테늄 촉매를 활용한 수질 정화 시스템,new ruthenium catalyst drives water purification system 신 루테늄 촉매를 활용한 수질 정화 시스템,물 부족 및 정수 기술
38103,Investigating the fatigue response of wind turbine blades 풍력 터빈 날개의 피로응답 연구,investigating the fatigue response of wind turbine blades 풍력 터빈 날개의 피로응답 연구,재생에너지 및 에너지전환
38104,On the road to more efficient solar cells 더욱 효율적인 태양전지의 생산,on the road to more efficient solar cells 더욱 효율적인 태양전지의 생산,재생에너지 및 에너지전환
38105,Modern standards for wind turbine technology 풍력 터빈 기술을 위한 기술 표준,modern standards for wind turbine technology 풍력 터빈 기술을 위한 기술 표준,재생에너지 및 에너지전환
38126,Use of titanium dioxide photocatalyst in solar reactor 태양반응기에서 이산화 티타늄 광 촉매를 활용한 수질 정화,use of titanium dioxide photocatalyst in solar reactor 태양반응기에서 이산화 티타늄 광 촉매를 활용한 수질 정화,"재생에너지 및 에너지전환, 물 부족 및 정수 기술"
38037,A bottom-to-top approach to solar cell manufacturing 태양 전지 생산을 위한 상향식 접근법,a bottom to top approach to solar cell manufacturing 태양 전지 생산을 위한 상향식 접근법,재생에너지 및 에너지전환
34971,"고강도 및 수소촉매 기능성을 가지는 Ni3(Si, Ti) 기내열 금속간 화합물 합금",고강도 및 수소촉매 기능성을 가지는 ni3 si ti 기내열 금속간 화합물 합금,재생에너지 및 에너지전환
31245,전자선 가교기술에 의한 바이오 플라스틱의 개질,전자선 가교기술에 의한 바이오 플라스틱의 개질,자원순환 및 친환경 소재
38972,"수활석, 수질 정화용 신 천연 흡수제(BRUCITE AS A NEW NATURAL SORBENT FOR WATER PURIFICATION)",수활석 수질 정화용 신 천연 흡수제 brucite as a new natural sorbent for water purification,물 부족 및 정수 기술
38973,PHASA 다채널 수직 변위 미터(PHASA Multichannel Vertical Displacement Meter),phasa 다채널 수직 변위 미터 phasa multichannel vertical displacement meter,사회적 갈등 및 강제이주
38977,AT-303 풍동(風洞)(AT-303 WIND TUNNEL),at 303 풍동 at 303 wind tunnel,재생에너지 및 에너지전환
37595,Drought-Tolerant Trees ,drought tolerant trees,물 부족 및 정수 기술
37595,Method and Composition for Enhancing the Biodegradation of Biodegradable Organic Wastes,method and composition for enhancing the biodegradation of biodegradable organic wastes,자원순환 및 친환경 소재
75281,High Efficiency Solar Receiver for Industrial Applications,high efficiency solar receiver for industrial applications,재생에너지 및 에너지전환
75281,SOLAR CELLS ARRANGEMENT,solar cells arrangement,재생에너지 및 에너지전환
75281,Means to Store and Transport Solar Energy,means to store and transport solar energy,재생에너지 및 에너지전환
34003,Biodegradable polyesteramide and a process of preparing,biodegradable polyesteramide and a process of preparing,자원순환 및 친환경 소재
34003,"Biodegradable polymers, preparation thereof and use thereof for producing biodegradable moldings",biodegradable polymers preparation thereof and use thereof for producing biodegradable moldings,자원순환 및 친환경 소재
34003,"Biodegradable polymers, preparation thereof and use thereof for producing biodegradable moldings",biodegradable polymers preparation thereof and use thereof for producing biodegradable moldings,자원순환 및 친환경 소재
75281,High Efficiency Solar Receiver for Industrial Applications ,high efficiency solar receiver for industrial applications,재생에너지 및 에너지전환
37595,High Efficiency Silicon Solar Cells,high efficiency silicon solar cells,재생에너지 및 에너지전환
87162,기능성을 갖게하는  EMF형 수소 센서와 그 응용,기능성을 갖게하는 emf형 수소 센서와 그 응용,재생에너지 및 에너지전환
105561,Solar Cells Arrangement ,solar cells arrangement,재생에너지 및 에너지전환
105341,Improved wind turbine airfoils with active flow control ,improved wind turbine airfoils with active flow control,재생에너지 및 에너지전환
105341,Harvesting Solar Energy: Hydrogen production by a semi-artificial photo-system ,harvesting solar energy hydrogen production by a semi artificial photo system,재생에너지 및 에너지전환
38726,"White, Single, or Multi-Color LED by Recycling Guided Modes",white single or multi color led by recycling guided modes,자원순환 및 친환경 소재
37595,Precursor Composition for the Preparation of a Biodegradable Implant ,precursor composition for the preparation of a biodegradable implant,자원순환 및 친환경 소재
